0, 0, 0, 5, 0, 0, 5, 0, 14, 13, 13, 13, 13, 30, 13, 13
0, 0, 0, 5, 0, 0, 9, 6, 19, 27, 31, 31, 31, 26, 13, 13
0, 0, 0, 5, 0, 0, 0, 0, 14, 30, 13, 13, 13, 30, 13, 13
0, 0, 0, 9, 2, 6, 6, 6, 18, 28, 31, 31, 31, 33, 31, 31
0, 0, 0, 0, 5, 0, 0, 0, 14, 13, 13, 13, 13, 30, 13, 13
0, 0, 0, 0, 5, 0, 11, 6, 18, 37, 13, 13, 13, 30, 13, 13
6, 6, 6, 6, 7, 6, 10, 0, 14, 29, 31, 31, 31, 33, 31, 31
0, 0, 0, 0, 5, 0, 0, 0, 14, 30, 13, 13, 13, 30, 13, 13
0, 0, 0, 11, 10, 0, 0, 11, 18, 26, 13, 13, 13, 30, 13, 13
0, 0, 11, 10, 0, 0, 0, 5, 14, 30, 13, 13, 13, 30, 13, 13
0, 0, 4, 6, 6, 6, 6, 1, 14, 30, 13, 13, 13, 30, 13, 13
0, 0, 5, 0, 0, 0, 0, 9, 18, 28, 27, 31, 31, 28, 31, 31
6, 6, 3, 12, 0, 0, 0, 0, 14, 13, 30, 13, 13, 13, 13, 13
0, 0, 0, 5, 0, 0, 0, 0, 14, 13, 30, 13, 13, 13, 13, 13
