22, 100, 100, 0
22, 300, 150, 0
22, 210, 320, 0
26, 735, 570, 0
28, 810, 275, 0
6, 380, 370, 0
8, 545, 590, 0
8, 545, 640, 0
8, 545, 690, 0
12, 50, 670, 0
12, 100, 725, 0
16, 350, 800, 0
3, 360, 785, 0
14, 640, 415, 90
18, 675, 135, 0
18, 710, 135, 0
18, 645, 165, 90
17, 600, 500, 0
17, 840, 410, 0
17, 870, 98, 0
17, 100, 800, 0
17, 250, 405, 0
9, 800, 800, 0
9, 850, 800, 0
30, 900, 800, 0
9, 950, 800, 0
9, 800, 850, 0
1, 550, 50, 0
10, 1000, 480, 0
23, 300, 600, 0
25, 440, 630, 0
29, 800, 500, 0
